SEQ #,TC #,BR FUNCTION ,BR ID(s),Test Case,Test Case Author (Division),Test Case Author (Name),Actor (User Role),"TEST STEPS (""How To"") / Narrative of What the Business User Would Do",Describe Test Data ,Expected Result,Novare Remarks
8,2,Advanced Analytics and Machine Learning,AAM-01,"Users should be able to create various visualizations automatically (in 5 or less steps or with minimal effort) that are key to revealing trends, seasonalities, correlations, data distribution, anomalies and directional changes. At the least, the system should enable creation of below visualizations:
   1) Line chart
   2) Bar chart
   3) Pie/Donut chart
   4) Ribbon Chart
   5) Heat Map
   6) Tree Map
   7) Decomposition Tree
   8) Scatter / Pair Plot
   9) Histogram 
   10) Boxplot","DMD
DWD
DSAAD
ITG","Leonard Balon
DWD-SRDD
ITG CORE PROJECT TEAM
JD Macatuggal
Matias, Al Zandrix","Business Analytics Manager
Developer
Technical User
Data Scientist
Data Analyst
Data Engineer",Show steps how to setup visualization on current objects,Sample data,"The system displays the selected visualization (e.g., bar chart, line graph, pie chart) within the analytics report, accurately reflecting the underlying data, with appropriate labels, legends, and formatting, and allows basic customization such as filtering, resizing, and exporting.",
8,3,Advanced Analytics and Machine Learning,AAM-01,Natural language summary/explanation,ITG,ITG CORE PROJECT TEAM,Technical User,"AI's ability to provide a natural language summary/explanation of a generated dashboard or report, highlighting key trends or anomalies.",,"The summary is accurate, uses business-relevant terminology, and correctly interprets the data presented in the visualization.",
8,4,Advanced Analytics and Machine Learning,AAM-01,Data quality anomalies,ITG,ITG CORE PROJECT TEAM,Technical User,Tets the AI capability to detect and flag data quality anomalies.,,An alert is triggered for the data quality issue.,
8,5,Advanced Analytics and Machine Learning,AAM-01,Prediction quality - Positive Input,ITG,ITG CORE PROJECT TEAM,Technical User,"1. Input data that is known to guarantee a specific positive outcome (e.g., a user who made 10 purchases in the last hour, guaranteeing a high fraud score). 2. Check the prediction output",,"The model outputs a prediction score (e.g., fraud_score) that is above the established business threshold (e.g., ≥0.95).",
8,6,Advanced Analytics and Machine Learning,AAM-01,Prediction quality - Negative Input,ITG,ITG CORE PROJECT TEAM,Technical User,"1. Input data that is known to guarantee a specific negative outcome (e.g., a brand new user with no activity, guaranteeing a low recommendation score). 2. Check the prediction output",,"The model outputs a prediction score (e.g., recommendation_score) that is below the established business threshold (e.g., ≤0.10).",
8,7,Advanced Analytics and Machine Learning,AAM-01,Prediction Drift Monitoring Functionality,ITG,ITG CORE PROJECT TEAM,Technical User,"1. Inject data into the production traffic stream that has a significantly different distribution from the training data (e.g., drastically different age distribution). 2. Check the drift monitoring dashboard and alerting system",,"The monitoring system detects the Data Drift (or Prediction Drift), generates an alert, and flags the time window of the anomalous data.",
8,8,Advanced Analytics and Machine Learning,AAM-02,"Users should be able to, at least to a similar extent as MS Excel charts,  customize visualization properties (via dropdown or menu of options) such as
   1) its type, size, formatting (e.g., filters, slicers), & behavior and of the elements inside it
   2) its interaction with other visualizations
   3) its data import source/s",DMD,"JD Macatuggal
Leonard Balon",Business Analytics Manager,"1. Access the visualization tool and select a dataset.  
2. Choose a chart type (e.g., bar, line, pie) from a dropdown or menu of visualization options.  
3. Customize chart properties such as size, labels, filters, slicers, and formatting using available UI controls.  
4. Define how the visualization interacts with other charts (e.g., cross-filtering, drill-through).  
5. Select or change the data source feeding the visualization and validate the updated output.",,"1. The user can select and switch between multiple chart types using a dropdown or menu.  
2. Visualization properties (e.g., size, formatting, filters) are customizable and reflect changes instantly.  
3. Interactions between visualizations (e.g., linked filters or drill-downs) behave as configured.  
4. The system allows users to select or update data sources for visualizations without errors.  
5. The final output is a user-defined, interactive chart that meets reporting and analysis needs.",
8,9,Advanced Analytics and Machine Learning,AAM-03,"Common ML techniques such as linear regression, gradient boosting models, classification models, scoring models, supervised models, unsupervised models as must be supported. There should be a low- or no-code functionality for the basic models mentioned above.","DMD
DSAAD","Leonard Balon
Matias, Al Zandrix
JD Macatuggal","Business Analytics Manager
Data Scientist
Data Analyst
Data Engineer","As an end user, I should be able to select a modeling method from a drop-down list,
so that I can configure and apply the appropriate model for my data analysis or machine learning task.",,"The system displays a drop-down list of available modeling methods, allows the user to select one (e.g. linear regression, classification, clustering), and automatically loads the corresponding configuration interface, enabling the user to proceed with model setup and application based on the selected method.",
8,10,Advanced Analytics and Machine Learning,"AAM-04
AAM-09
AAM-13","User should be able to catalog created models (during model building) that includes essential model metrics such as
   1) predictive power
   2) area under the curve
   3) goodnes of fit
   4) Specificity 
   5) Sensitivity
   6) Precision
   7) Accuracy
   8) error-rate / misclassification rate
   9) <any other user-defined metric>

User should be able to select the champion model with the best model parameters from the catalog and recommend/publish it as the ""baseline model""","DMD
DSAAD","JD Macatuggal
Leonard Balon
Matias, Al Zandrix","Business Analytics Manager
Data Scientist
Data Analyst
Data Engineer","As an end user,I should be able to access a facility within the system that catalogs all trained models and recommends a champion model based on the dataset and defined model metrics (e.g., Area Under the Curve, Lift),
so that I can easily identify the most effective model for deployment or further analysis.",,"The system displays a catalog of all trained models with relevant metadata and performance metrics, automatically evaluates them based on defined criteria (e.g. Area Under the Curve, Lift), and clearly recommends the champion model by highlighting it in the interface, enabling the user to identify the best-performing model for deployment or further analysis.",
8,11,Advanced Analytics and Machine Learning,"AAM-06
AAM-08
AAM-10","User should be able to perform various data mining pre-processing from a simplified facility of the system where at least below options may be selected:
   1) Data Cleaning
   2) Transformation
   3) Combination / Integration
   4) Reduction
   5) Feature Engineering
   6) Variable clustering","DMD
DSAAD","JD Macatuggal
Leonard Balon
Matias, Al Zandrix","Business Analytics Manager
Data Scientist
Data Analyst
Data Engineer","As an end user,I should be able to access a facility within the system that performs feature extraction, variable clustering, and other data mining pre-processing techniques,
so that I can prepare my dataset effectively for modeling and analysis.",,"The system provides a pre-processing interface where the user can perform feature extraction, variable clustering, and other data mining techniques, and displays the transformed dataset with updated structure and metadata, ready for use in modeling and analysis.",
